Business Name,Address,Phone Number,Category
Caffe Latte,|6254 Wilshire BlvdLos Angeles, CA 90048|,(323) 936-5213,Coffee & Espresso Restaurants
Bourgeois Pig,|5931 Franklin AveLos Angeles, CA 90028|,(323) 464-6008,Coffee & Espresso RestaurantsCaterers
Intelligentsia Coffee,|3922 W Sunset BlvdLos Angeles, CA 90029|,(323) 663-6173,Coffee & Espresso Restaurants
Beard Papa Sweet Cafe,|6801 Hollywood Blvd Ste 157Los Angeles, CA 90028|,(323) 462-6100,Coffee & Espresso Restaurants
Groundwork Coffee Inc,|1501 N Cahuenga BlvdLos Angeles, CA 90028|,(323) 871-0143,Coffee & Espresso Restaurants
The Downbeat Cafe,|1202 N Alvarado StLos Angeles, CA 90026|,(213) 483-3955,Coffee & Espresso Restaurants
Habibi Cafe,|923 Broxton AveLos Angeles, CA 90024|,(310) 824-2277,Coffee ShopsCaterersRestaurants
Sabor Y Cultura,|5625 Hollywood BlvdLos Angeles, CA 90028|,(323) 466-0481,Coffee & Espresso Restaurants
The Wood Cafe,|12000 W Washington BlvdLos Angeles, CA 90066|,(310) 915-9663,Coffee Shops
The Apple Pan,|10801 W Pico BlvdLos Angeles, CA 90064|,(310) 475-3585,Coffee ShopsAmerican Restaurants
Good Microbrew & Grill,|3725 W Sunset BlvdLos Angeles, CA 90026|,(323) 660-3645,Coffee ShopsCaterers
The Standard Hollywood,|8300 W Sunset BlvdLos Angeles, CA 90069|,(323) 650-9090,Coffee ShopsItalian Restaurants
Literati Cafe,|12081 Wilshire BlvdLos Angeles, CA 90025|,(310) 231-7484,Coffee ShopsAmerican Restaurants
Cafe Stella,|3932 W Sunset BlvdLos Angeles, CA 90029|,(323) 666-0265,Coffee & Espresso Restaurants
Cafe Brasil,|10831 Venice BlvdLos Angeles, CA 90034|,(310) 837-8957,Coffee ShopsTake Out Restaurants
Swork Coffee,|2160 Colorado BlvdLos Angeles, CA 90041|,(323) 258-5600,Coffee & Espresso Restaurants
Nick's Coffee Shop & Deli,|8536 W Pico BlvdLos Angeles, CA 90035|,(310) 652-3567,Coffee Shops
Coral Tree Cafe,|11645 San Vicente BlvdLos Angeles, CA 90049|,(310) 979-8733,Coffee & Espresso Restaurants
House Of Pies,|1869 N Vermont AveLos Angeles, CA 90027|,(323) 666-9961,Coffee ShopsBakeries
Amandine Patissiere,|12225 Wilshire BlvdLos Angeles, CA 90025|,(310) 979-3211,Coffee & Espresso Restaurants
Cafe Bella Roma,|1513 S Robertson BlvdLos Angeles, CA 90035|,(310) 277-7662,Coffee ShopsItalian Restaurants
Lulu's Cafe,|7149 Beverly BlvdLos Angeles, CA 90036|,(323) 938-6095,Coffee ShopsRestaurantsCaterers
Hotel Cafe,|1623 1/2 N Cahuenga BlvdLos Angeles, CA 90028|,(323) 461-2040,Coffee ShopsRestaurants
Pipers Restaurant,|222 N Western AveLos Angeles, CA 90004|,(323) 465-7701,Coffee & Espresso Restaurants
Maxwell Cafe,|13329 W Washington BlvdLos Angeles, CA 90066|,(310) 306-7829,Coffee ShopsCoffee & TeaDonut Shops
Pann's Restaurant,|6710 La Tijera BlvdLos Angeles, CA 90045|,(323) 776-3770,Coffee ShopsFamily Style Restaurants
Fratelli Cafe,|7200 Melrose AveLos Angeles, CA 90046|,(323) 938-2233,Coffee ShopsCoffee & Tea
Sunny Grill,|12035 Venice BlvdLos Angeles, CA 90066|,(310) 390-8989,Coffee ShopsAmerican Restaurants
Suehiro Cafe,|337 E 1st StLos Angeles, CA 90012|,(213) 626-9132,Coffee ShopsRestaurants
Starbucks Coffee,|4520 W Sunset BlvdLos Angeles, CA 90027|,(323) 662-8107,Coffee & Espresso Restaurants
